"From","Plays.at","count"
"Argentina","Argentina",3
"Argentina","China",1
"Argentina","England",5
"Argentina","France",2
"Argentina","Italy",5
"Argentina","Mexico",1
"Argentina","Nederlands",1
"Argentina","Portugal",2
"Argentina","Spain",3
"Australia","Australia",3
"Australia","Belgium",1
"Australia","England",7
"Australia","Germany",2
"Australia","Japan",2
"Australia","Nederlands",1
"Australia","Saudi Arabia",1
"Australia","Scotland",2
"Australia","South Korea",1
"Australia","Switzerland",2
"Australia","Turkey",1
"Belgium","Belgium",1
"Belgium","China",2
"Belgium","England",11
"Belgium","France",2
"Belgium","Germany",3
"Belgium","Italy",1
"Belgium","Scotland",1
"Belgium","Spain",2
"Brazil","Brazil",3
"Brazil","China",1
"Brazil","England",6
"Brazil","France",3
"Brazil","Italy",3
"Brazil","Spain",5
"Brazil","Ukraine",2
"Colombia","Argentina",3
"Colombia","Brazil",1
"Colombia","Colombia",3
"Colombia","England",3
"Colombia","France",1
"Colombia","Germany",1
"Colombia","Italy",2
"Colombia","Mexico",2
"Colombia","Nederlands",1
"Colombia","Spain",6
"Costa Rica","Canada",1
"Costa Rica","Colombia",1
"Costa Rica","Costa Rica",6
"Costa Rica","England",1
"Costa Rica","Italy",1
"Costa Rica","Portugal",1
"Costa Rica","Scotland",1
"Costa Rica","Spain",4
"Costa Rica","Sweden",1
"Costa Rica","Switzerland",1
"Costa Rica","United States of America",5
"Croatia","Austria",1
"Croatia","Belgium",1
"Croatia","Croatia",2
"Croatia","England",1
"Croatia","France",1
"Croatia","Germany",4
"Croatia","Italy",6
"Croatia","Russia",1
"Croatia","Spain",4
"Croatia","Turkey",1
"Croatia","Ukraine",1
"Denmark","Denmark",3
"Denmark","England",7
"Denmark","France",2
"Denmark","Germany",3
"Denmark","Italy",2
"Denmark","Nederlands",3
"Denmark","Spain",3
"Egypt","Egypt",8
"Egypt","England",7
"Egypt","Finland",1
"Egypt","Greece",1
"Egypt","Saudi Arabia",4
"Egypt","Turkey",1
"Egypt","United States of America",1
"England","England",23
"France","England",5
"France","France",9
"France","Germany",2
"France","Italy",1
"France","Spain",6
"Germany","England",3
"Germany","France",2
"Germany","Germany",15
"Germany","Italy",1
"Germany","Spain",2
"Iceland","Belgium",1
"Iceland","Bulgaria",1
"Iceland","Denmark",3
"Iceland","England",5
"Iceland","Germany",2
"Iceland","Iceland",1
"Iceland","Italy",1
"Iceland","Nederlands",1
"Iceland","Norway",1
"Iceland","Russia",3
"Iceland","Scotland",1
"Iceland","Sweden",1
"Iceland","Turkey",1
"Iceland","Walles",1
"Iran","Belgium",1
"Iran","England",1
"Iran","Greece",3
"Iran","Iran",9
"Iran","Nederlands",2
"Iran","Portugal",1
"Iran","Quatar",2
"Iran","Russia",3
"Iran","Sweden",1
"Japan","England",2
"Japan","France",2
"Japan","Germany",7
"Japan","Japan",8
"Japan","Mexico",1
"Japan","Spain",2
"Japan","Turkey",1
"Mexico","Belgium",1
"Mexico","England",1
"Mexico","Germany",2
"Mexico","Mexico",8
"Mexico","Nederlands",1
"Mexico","Portugal",4
"Mexico","Spain",3
"Mexico","United States of America",3
"Morocco","Belgium",1
"Morocco","England",1
"Morocco","France",2
"Morocco","Germany",2
"Morocco","Italy",1
"Morocco","Morocco",2
"Morocco","Nederlands",3
"Morocco","Spain",6
"Morocco","Turkey",4
"Morocco","United Arab Emirates",1
"Nigeria","Belgium",1
"Nigeria","China",2
"Nigeria","England",4
"Nigeria","France",1
"Nigeria","Germany",1
"Nigeria","Israel",1
"Nigeria","Italy",2
"Nigeria","Nederlands",1
"Nigeria","Nigeria",1
"Nigeria","Russia",2
"Nigeria","South Africa",1
"Nigeria","Spain",2
"Nigeria","Turkey",4
"Panama","Belgium",1
"Panama","Chile",2
"Panama","Colombia",1
"Panama","Costa Rica",1
"Panama","Guatemala",2
"Panama","Honduras",1
"Panama","Mexico",1
"Panama","Panama",3
"Panama","Peru",2
"Panama","Romania",1
"Panama","Slovakia",1
"Panama","Spain",1
"Panama","United States of America",6
"Peru","Brazil",3
"Peru","Colombia",1
"Peru","Denmark",1
"Peru","England",1
"Peru","Mexico",7
"Peru","Nederlands",1
"Peru","Peru",5
"Peru","Portugal",1
"Peru","Russia",1
"Peru","United States of America",2
"Poland","Belgium",1
"Poland","Bulgaria",1
"Poland","England",4
"Poland","France",1
"Poland","Germany",3
"Poland","Italy",7
"Poland","Poland",4
"Poland","Russia",1
"Poland","Walles",1
"Portugal","China",1
"Portugal","England",4
"Portugal","France",2
"Portugal","Germany",1
"Portugal","Italy",2
"Portugal","Portugal",6
"Portugal","Russia",1
"Portugal","Scotland",1
"Portugal","Spain",2
"Portugal","Turkey",3
"Russia","Belgium",1
"Russia","Russia",21
"Russia","Spain",1
"Saudi Arabia","Saudi Arabia",20
"Saudi Arabia","Spain",3
"Senegal","Belgium",2
"Senegal","England",7
"Senegal","France",7
"Senegal","Germany",1
"Senegal","Guinea",1
"Senegal","Italy",3
"Senegal","Turkey",2
"Serbia","Belgium",1
"Serbia","England",4
"Serbia","Germany",3
"Serbia","Greece",1
"Serbia","Israel",1
"Serbia","Italy",4
"Serbia","Portugal",1
"Serbia","Russia",1
"Serbia","Serbia",3
"Serbia","Spain",2
"Serbia","Turkey",1
"Serbia","Walles",1
"South Korea","Austria",1
"South Korea","China",1
"South Korea","England",1
"South Korea","Germany",1
"South Korea","Italy",1
"South Korea","Japan",5
"South Korea","South Korea",12
"South Korea","Walles",1
"Spain","England",4
"Spain","Germany",1
"Spain","Italy",1
"Spain","Spain",17
"Sweden","Belgium",1
"Sweden","Denmark",1
"Sweden","England",3
"Sweden","France",3
"Sweden","Germany",3
"Sweden","Italy",4
"Sweden","Russia",2
"Sweden","Scotland",1
"Sweden","Spain",1
"Sweden","United Arab Emirates",1
"Sweden","United States of America",1
"Sweden","Walles",2
"Switzerland","Croatia",1
"Switzerland","England",2
"Switzerland","France",1
"Switzerland","Germany",10
"Switzerland","Italy",5
"Switzerland","Portugal",1
"Switzerland","Spain",1
"Switzerland","Switzerland",1
"Switzerland","Turkey",1
"Tunisia","Belgium",1
"Tunisia","Egypt",2
"Tunisia","England",1
"Tunisia","France",7
"Tunisia","Saudi Arabia",5
"Tunisia","Tunisia",6
"Tunisia","Turkey",1
"Uruguay","Argentina",3
"Uruguay","Brazil",2
"Uruguay","France",1
"Uruguay","Italy",5
"Uruguay","Mexico",2
"Uruguay","Portugal",2
"Uruguay","Spain",5
"Uruguay","Turkey",1
"Uruguay","Uruguay",2
